category,categories_all,media_tags,name,gen_pop_reach,all_reach,dem_reach,rep_reach
Sports||Journalist Broadcaster,Sports||Journalist Broadcaster,journalist,Ja Adande,0.0037698797517455,0.0069906567184244,0.0080359913124418,0.0067155067155067
Sports||Basketball,Sports||Basketball,,Ja Morant,0.0036607835531419,0.0030920212408415,0.0036922122246354,0.0034722222222222
Internet Related,Internet Related,,Jaboukie Young-White,0.0037941233514352,0.0096457619143644,0.0133416071982624,0.002785409035409
Politics / Government,Politics / Government,politician,Jacinda Ardern,0.0013212761830876,0.0035625462122739,0.0048091839900713,0.0016788766788766
Esports / Video Games,Esports / Video Games,,Jack 'Courage' Dunlop,0.0032607641582622,0.0015124016938898,0.0010549177784672,0.0020985958485958
Music||Alternative/Indie,Music||Alternative/Indie,,Jack Antonoff,0.0019273661753297,0.0046716407877932,0.0061123177164132,0.0022893772893772
Social Media / Video,Social Media / Video,,Jack Ballengee,0.0126187936384794,0.0315587820125025,0.0377908780639156,0.0249923687423687
Film / Tv,Film / Tv,,Jack Black,0.0041335337470907,0.0027895409020635,0.0026993484331368,0.0026327838827838
Motivational / Leadership,Motivational / Leadership,,Jack Canfield,0.0018667571761055,0.0020837534449149,0.0020167545764815,0.0016788766788766
Authors||Literature And Fiction,Authors||Literature And Fiction,,Jack Carr (Author),0.0010303529868114,0.0015796195469516,0.0009308098045299,0.003052503052503
News Media,News Media,journalist,Jack Curry,0.0007879169899146,0.0023862337836929,0.0026993484331368,0.0021749084249084
Business||Technology,Business||Technology,,Jack Dorsey,0.0137461210240496,0.0335417086778248,0.0398696866273658,0.0261752136752136
Film / Tv,Film / Tv,,Jack Falahee,0.0016485647788983,0.0024870605632856,0.0029165373875271,0.0016407203907203
Academics,Academics,,Jack Goldsmith,0.0006666989914662,0.0054446460980036,0.0064536146447409,0.0043879731379731
News Media,News Media,journalist,Jack Gray,0.0009212567882079,0.0015460106204207,0.0021098355569345,0.0014880952380952
Music||Hip Hop And Rap,Music||Hip Hop And Rap,,Jack Harlow,0.0033577385570209,0.0017476641796061,0.0026683214396524,0.0017551892551892
Film / Tv,Film / Tv,,Jack Harries,0.0034183475562451,0.0034281105061504,0.0041886441203847,0.0028617216117216
Politics / Government,Politics / Government,politician,Jack Hopkins (Political Influencer),0.0010303529868114,0.0032264569469651,0.0035370772572137,0.00133547008547
Music||Folk,Music||Folk,,Jack Johnson - Musician,0.0023758727695888,0.0025878873428782,0.0026062674526838,0.003052503052503
Politics / Government,Politics / Government,politician,Jack Markell,0.0001575833979829,0.0013779659877663,0.0013341607198262,0.0010302197802197
News Media,News Media,journalist,Jack Nicas,0.00037577579519,0.0042347247428917,0.0056469128141483,0.0022130647130647
Sports||Golf,Sports||Golf,,Jack Nicklaus,0.001600077579519,0.0036297640653357,0.0019547005895128,0.0065247252747252
Politics / Government,Politics / Government,politician,Jack Posbiec,0.0051517649340574,0.0090408012368084,0.0037852932050884,0.0199175824175824
Politics / Government,Politics / Government,politician,Jack Reed,0.0004000193948797,0.0047052497143241,0.005150480918399,0.0025946275946275
Film / Tv,Film / Tv,,Jack Schlossberg,0.0004727501939487,0.0027559319755327,0.0034439962767607,0.0010302197802197
News Media,News Media,journalist,Jack Shafer,0.0007394297905352,0.0105532029306983,0.0137759851070431,0.0054945054945054
"Authors||Mystery, Thriller & Suspense","Authors||Mystery, Thriller & Suspense",,Jack Silkstone,0.0004969937936384,0.0007057874571486,0.0007136208501396,0.0012591575091575
Business||Management / Ceos,Business||Management / Ceos,,Jack Welch,0.0029092319627618,0.0102843315184513,0.0081290722928948,0.0111797924297924
Comedy,Comedy,,Jack Whitehall,0.0020607059736229,0.0025878873428782,0.0028234564070741,0.0025946275946275
Film / Tv,Film / Tv,,Jacke Harry,0.0033092513576415,0.0046716407877932,0.0054917778467266,0.0021367521367521
